rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,-,4,-,33,1,-,-,2015
15-19,17,10,161,7,231,7,20,2,2015
20-24,22,83,669,63,338,45,46,1,2015
25-29,27,150,627,89,259,86,79,8,2015
30-34,32,161,383,93,145,106,86,6,2015
35-39,37,168,254,103,118,114,72,10,2015
40-44,42,117,167,99,72,82,63,11,2015
45-49,47,77,89,61,44,72,34,2,2015
50-54,52,84,59,48,52,59,33,2,2015
55-59,57,63,30,34,27,44,20,2,2015
>60,65,65,40,58,50,101,35,-,2015
