rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,-,-,-,10,1,1,-,2021
15-19,17,6,91,6,98,5,16,-,2021
20-24,22,48,464,45,151,13,45,1,2021
25-29,27,102,385,43,75,24,80,-,2021
30-34,32,114,272,45,64,31,70,-,2021
35-39,37,116,185,58,47,42,31,-,2021
40-44,42,93,95,40,52,30,38,1,2021
45-49,47,65,60,33,29,28,20,-,2021
50-54,52,44,30,17,12,23,19,-,2021
55-59,57,34,24,5,12,14,15,-,2021
>60,65,30,24,20,12,17,11,-,2021
